date,value
2016-05-09,3248
2016-05-10,2969
2016-05-11,3400
2016-05-12,3876
2016-05-13,3035
2016-05-14,3073
2016-05-15,4017
2016-05-16,3649
2016-05-17,3067
2016-05-18,3609
2016-05-19,3142
2016-05-20,3176
2016-05-21,3565
2016-05-22,2521
2016-05-23,2649
2016-05-24,3263
2016-05-25,3069
2016-05-26,3764
2016-05-27,3183
2016-05-28,2960
2016-05-29,4427
2016-05-30,3608
2016-05-31,3781
2016-06-01,3060
2016-06-02,3523
2016-06-03,3874
2016-06-04,3264
2016-06-05,4048
2016-06-06,3579
2016-06-07,3751
2016-06-08,3612
2016-06-09,4854
2016-06-10,3935
2016-06-11,3425
2016-06-12,4376
2016-06-13,3363
2016-06-14,4086
2016-06-15,3008
2016-06-16,3329
2016-06-17,4095
2016-06-18,4368
2016-06-19,4085
2016-06-20,3941
2016-06-21,3846
2016-06-22,3253
2016-06-23,3627
2016-06-24,3750
2016-06-25,4501
2016-06-26,4135
2016-06-27,3070
2016-06-28,4102
2016-06-29,3733
2016-06-30,3572
2016-07-01,4200
2016-07-02,4392
2016-07-03,4323
2016-07-04,3417
2016-07-05,3661
2016-07-06,3958
2016-07-07,4256
2016-07-08,3504
2016-07-09,3625
2016-07-10,3137
2016-07-11,3064
2016-07-12,4039
2016-07-13,4281
2016-07-14,3536
2016-07-15,4041
2016-07-16,3688
2016-07-17,3151
2016-07-18,3620
2016-07-19,4174
2016-07-20,3351
2016-07-21,4116
2016-07-22,1987
2016-07-23,3671
2016-07-24,3266
2016-07-25,3036
2016-07-26,3193
2016-07-27,2116
2016-07-28,2961
2016-07-29,3211
2016-07-30,3733
2016-07-31,2697
2016-08-01,2514
2016-08-02,2629
2016-08-03,3299
2016-08-04,2968
2016-08-05,2502
2016-08-06,2986
2016-08-07,2741
2016-08-08,3141
2016-08-09,2269
2016-08-10,2421
2016-08-11,2355
2016-08-12,1785
2016-08-13,2632
2016-08-14,2582
2016-08-15,2422
2016-08-16,2271
2016-08-17,1651
2016-08-18,2119
2016-08-19,2130
2016-08-20,1874
2016-08-21,2168
2016-08-22,2426
2016-08-23,3143
2016-08-24,2265
2016-08-25,2285
2016-08-26,2099
2016-08-27,1158
2016-08-28,2087
2016-08-29,2114
2016-08-30,3301
2016-08-31,1960
2016-09-01,2195
2016-09-02,2016
2016-09-03,1440
2016-09-04,2588
2016-09-05,2386
2016-09-06,2401
2016-09-07,1547
2016-09-08,2701
2016-09-09,1299
2016-09-10,2294
2016-09-11,3098
2016-09-12,1512
2016-09-13,1729
2016-09-14,2069
2016-09-15,1776
2016-09-16,1262
2016-09-17,2083
2016-09-18,1530
2016-09-19,2312
2016-09-20,1631
2016-09-21,2882
2016-09-22,1733
2016-09-23,1983
2016-09-24,2571
2016-09-25,1571
2016-09-26,2323
2016-09-27,2887
2016-09-28,1455
2016-09-29,2377
2016-09-30,2442
2016-10-01,2732
2016-10-02,1752
2016-10-03,1740
2016-10-04,2693
2016-10-05,2612
2016-10-06,2622
2016-10-07,2703
2016-10-08,2224
2016-10-09,2715
2016-10-10,2781
2016-10-11,2313
2016-10-12,3640
2016-10-13,2981
2016-10-14,2185
2016-10-15,3147
2016-10-16,2369
2016-10-17,3288
2016-10-18,3512
2016-10-19,2561
2016-10-20,3491
2016-10-21,3254
2016-10-22,3497
2016-10-23,4073
2016-10-24,3040
2016-10-25,2823
2016-10-26,2793
2016-10-27,2867
2016-10-28,3273
2016-10-29,3518
2016-10-30,3521
2016-10-31,3832
2016-11-01,3459
2016-11-02,4213
2016-11-03,3387
2016-11-04,4912
2016-11-05,3897
2016-11-06,3186
2016-11-07,3109
2016-11-08,3914
2016-11-09,3589
2016-11-10,4085
2016-11-11,3990
2016-11-12,3742
2016-11-13,3378
2016-11-14,3067
2016-11-15,3622
2016-11-16,4293
2016-11-17,3991
2016-11-18,3278
2016-11-19,4003
2016-11-20,4124
2016-11-21,3503
2016-11-22,4033
2016-11-23,3996
2016-11-24,3404
2016-11-25,4162
2016-11-26,4270
2016-11-27,4536
2016-11-28,4524
2016-11-29,3310
2016-11-30,3531
2016-12-01,4256
2016-12-02,4252
2016-12-03,4249
2016-12-04,5912
2016-12-05,4264
2016-12-06,4538
2016-12-07,4437
2016-12-08,4275
2016-12-09,3779
2016-12-10,4302
2016-12-11,3520
2016-12-12,3771
2016-12-13,3629
2016-12-14,3893
2016-12-15,4989
2016-12-16,2876
2016-12-17,4130
2016-12-18,2956
2016-12-19,3501
2016-12-20,4255
2016-12-21,3715
2016-12-22,3116
2016-12-23,3267
2016-12-24,3934
2016-12-25,3198
2016-12-26,3639
2016-12-27,3521
2016-12-28,3139
2016-12-29,4502
2016-12-30,3712
2016-12-31,2347
2017-01-01,3417
2017-01-02,2956
2017-01-03,3677
2017-01-04,2817
2017-01-05,3118
2017-01-06,3390
2017-01-07,3532
2017-01-08,2461
2017-01-09,2856
2017-01-10,2747
2017-01-11,2620
2017-01-12,3791
2017-01-13,3072
2017-01-14,2201
2017-01-15,3253
2017-01-16,3818
2017-01-17,3236
2017-01-18,1923
2017-01-19,2405
2017-01-20,3245
2017-01-21,2222
2017-01-22,2764
2017-01-23,2895
2017-01-24,2011
2017-01-25,2413
2017-01-26,791
2017-01-27,1868
2017-01-28,2225
2017-01-29,1698
2017-01-30,3111
2017-01-31,1553
2017-02-01,2022
2017-02-02,2283
2017-02-03,2915
2017-02-04,1454
2017-02-05,2733
2017-02-06,2137
2017-02-07,1622
2017-02-08,2327
2017-02-09,2180
2017-02-10,1766
2017-02-11,2088
2017-02-12,1848
2017-02-13,2088
2017-02-14,2353
